Industry,Type,Year,Value
"Warehousing, Post & Courier Services",FDI,2010,3963.7
Water Transport & Supporting Services,FEI,2010,30246.2
Water Transport & Supporting Services,FDEI,2010,29383.7
Water Transport & Supporting Services,FPEI,2010,862.5
Water Transport & Supporting Services,FDI,2010,33151.6
Wholesale & Retail Trade,FEI,2010,101074.9
Wholesale & Retail Trade,FDEI,2010,99661.5
Wholesale & Retail Trade,FPEI,2010,1413.4
Wholesale & Retail Trade,FDI,2010,108721.7
Wholesale Trade,FEI,2010,98717.5
Wholesale Trade,FDEI,2010,97374.4
Wholesale Trade,FPEI,2010,1343.1
Wholesale Trade,FDI,2010,106299.9
Accommodation & Food Service Activities,FEI,2011,3681.3
Accommodation & Food Service Activities,FDEI,2011,3621.7
Accommodation & Food Service Activities,FPEI,2011,59.6
Accommodation & Food Service Activities,FDI,2011,4311.7
Banks,FEI,2011,17986.2
Banks,FDEI,2011,13382.9
Banks,FPEI,2011,4603.3
Banks,FDI,2011,14534.8
Basic Metals,FEI,2011,578.2
Basic Metals,FDEI,2011,575.9
Basic Metals,FPEI,2011,2.3
Basic Metals,FDI,2011,576
Chemicals & Chemical Products,FEI,2011,9206.8
Chemicals & Chemical Products,FDEI,2011,9073.8
Chemicals & Chemical Products,FPEI,2011,133
Chemicals & Chemical Products,FDI,2011,9284.7
"Computer, Electronic and Optical Products",FEI,2011,38034.8
"Computer, Electronic and Optical Products",FDEI,2011,37432.5
"Computer, Electronic and Optical Products",FPEI,2011,602.3
"Computer, Electronic and Optical Products",FDI,2011,41983.6
Computers and Peripheral Equipment,FEI,2011,8530.2
Computers and Peripheral Equipment,FDEI,2011,8530.2
Computers and Peripheral Equipment,FPEI,2011,0
Computers and Peripheral Equipment,FDI,2011,8694.2
Construction,FEI,2011,2977
Construction,FDEI,2011,2946.2
Construction,FPEI,2011,30.8
Construction,FDI,2011,2613.8
Electrical Machinery & Apparatus,FEI,2011,825.8
Electrical Machinery & Apparatus,FDEI,2011,780.3
